Date,Open,High,Low,Range,Close,Adj Close,Volume,Status
11/07/2007,0.89961,0.90289,0.8984,0.00255,0.90216,0.90216,0,INCREASING
12/07/2007,0.9022,0.90986,0.89935,0.00614,0.90834,0.90834,0,INCREASING
13/07/2007,0.90831,0.91186,0.90801,0.00289,0.9112,0.9112,0,INCREASING
16/07/2007,0.91186,0.91239,0.90733,-0.00324,0.90862,0.90862,0,DECREASING
17/07/2007,0.90868,0.9112,0.90733,0.00107,0.90975,0.90975,0,INCREASING
18/07/2007,0.90972,0.91072,0.90699,-0.0019,0.90782,0.90782,0,DECREASING
19/07/2007,0.90775,0.90891,0.90602,0.00031,0.90806,0.90806,0,INCREASING
20/07/2007,0.90799,0.91365,0.90733,0.00272,0.91071,0.91071,0,INCREASING
23/07/2007,0.91051,0.91291,0.90985,0.00193,0.91244,0.91244,0,INCREASING
24/07/2007,0.91244,0.91258,0.90662,-0.00448,0.90796,0.90796,0,DECREASING
25/07/2007,0.90806,0.92179,0.90799,0.01215,0.92021,0.92021,0,INCREASING
26/07/2007,0.92025,0.92145,0.91213,-0.00706,0.91319,0.91319,0,DECREASING
27/07/2007,0.91332,0.92045,0.91214,0.00083,0.91415,0.91415,0,INCREASING
30/07/2007,0.91449,0.91489,0.91113,-0.003,0.91149,0.91149,0,DECREASING
31/07/2007,0.91149,0.91259,0.90827,7E-05,0.91156,0.91156,0,INCREASING
01/08/2007,0.91166,0.9133,0.90926,-0.00018,0.91148,0.91148,0,DECREASING
02/08/2007,0.91155,0.91904,0.91145,0.00413,0.91568,0.91568,0,INCREASING
03/08/2007,0.91568,0.91696,0.90752,-0.00615,0.90953,0.90953,0,DECREASING
06/08/2007,0.90743,0.91283,0.90595,0.00461,0.91204,0.91204,0,INCREASING
07/08/2007,0.91197,0.91268,0.90871,0.00044,0.91241,0.91241,0,INCREASING
08/08/2007,0.91248,0.91348,0.90685,-0.00425,0.90823,0.90823,0,DECREASING
09/08/2007,0.9083,0.9246,0.90741,0.01553,0.92383,0.92383,0,INCREASING
10/08/2007,0.92393,0.92531,0.91652,-0.0062,0.91773,0.91773,0,DECREASING
13/08/2007,0.91756,0.92055,0.9129,-0.00114,0.91642,0.91642,0,DECREASING
14/08/2007,0.91635,0.91932,0.90989,-0.0024,0.91395,0.91395,0,DECREASING
15/08/2007,0.91409,0.91952,0.91402,0.00512,0.91921,0.91921,0,INCREASING
16/08/2007,0.91908,0.92241,0.91492,-0.00337,0.91571,0.91571,0,DECREASING
17/08/2007,0.91564,0.91867,0.9125,-0.00017,0.91547,0.91547,0,DECREASING
20/08/2007,0.91574,0.91669,0.91223,-0.00216,0.91358,0.91358,0,DECREASING
21/08/2007,0.91392,0.92208,0.91115,0.00816,0.92208,0.92208,0,INCREASING
22/08/2007,0.92208,0.92235,0.90872,-0.01266,0.90942,0.90942,0,DECREASING
23/08/2007,0.90939,0.92412,0.90661,0.01456,0.92395,0.92395,0,INCREASING
24/08/2007,0.92395,0.92408,0.91516,-0.00745,0.9165,0.9165,0,DECREASING
27/08/2007,0.91593,0.91724,0.91459,0.00054,0.91647,0.91647,0,INCREASING
28/08/2007,0.9165,0.91751,0.91248,0.00067,0.91717,0.91717,0,INCREASING
29/08/2007,0.9171,0.92233,0.91522,0.00139,0.91849,0.91849,0,INCREASING
30/08/2007,0.91862,0.92301,0.91429,-0.00326,0.91536,0.91536,0,DECREASING
31/08/2007,0.91523,0.91683,0.91038,0.00045,0.91568,0.91568,0,INCREASING
03/09/2007,0.91602,0.91659,0.91368,-0.00083,0.91519,0.91519,0,DECREASING
04/09/2007,0.91519,0.92345,0.91435,0.00389,0.91908,0.91908,0,INCREASING
05/09/2007,0.91918,0.92443,0.91804,0.00017,0.91935,0.91935,0,INCREASING
06/09/2007,0.91931,0.92347,0.9183,0.00102,0.92033,0.92033,0,INCREASING
07/09/2007,0.92023,0.92225,0.91462,-0.00431,0.91592,0.91592,0,DECREASING
10/09/2007,null,null,null,#VALUE!,null,null,null,#VALUE!
11/09/2007,0.91762,0.92529,0.91619,0.006,0.92362,0.92362,0,INCREASING
12/09/2007,0.92378,0.92648,0.91867,0.00014,0.92392,0.92392,0,INCREASING
13/09/2007,0.92382,0.92542,0.91789,-0.00361,0.92021,0.92021,0,DECREASING
14/09/2007,0.92024,0.93006,0.91852,0.00791,0.92815,0.92815,0,INCREASING
17/09/2007,0.92875,0.92959,0.91719,-0.01014,0.91861,0.91861,0,DECREASING
18/09/2007,0.91861,0.92084,0.91003,-0.008,0.91061,0.91061,0,DECREASING
19/09/2007,0.91061,0.92313,0.91012,0.01067,0.92128,0.92128,0,INCREASING
20/09/2007,0.92125,0.92682,0.91542,0.00214,0.92339,0.92339,0,INCREASING
21/09/2007,0.92366,0.92948,0.92094,0.00285,0.92651,0.92651,0,INCREASING
24/09/2007,0.92658,0.92671,0.92248,-0.00105,0.92553,0.92553,0,DECREASING
25/09/2007,0.92553,0.92615,0.91813,-0.00733,0.9182,0.9182,0,DECREASING
26/09/2007,0.91832,0.92152,0.91742,0.00196,0.92028,0.92028,0,INCREASING
27/09/2007,0.92035,0.92845,0.91853,0.00724,0.92759,0.92759,0,INCREASING
28/09/2007,0.92753,0.9314,0.92497,-0.00178,0.92575,0.92575,0,DECREASING
01/10/2007,0.92543,0.93232,0.92501,0.00551,0.93094,0.93094,0,INCREASING
02/10/2007,0.93094,0.9363,0.93078,0.00175,0.93269,0.93269,0,INCREASING
03/10/2007,0.93256,0.93699,0.92957,0.00357,0.93613,0.93613,0,INCREASING
04/10/2007,0.93623,0.93729,0.92453,-0.01092,0.92531,0.92531,0,DECREASING
05/10/2007,0.92518,0.92894,0.92113,-0.00245,0.92273,0.92273,0,DECREASING
